pr1,pr2,weight
26999,26989,0.9998506916473786
26999,26988,0.9998434880041519
26999,26964,0.9991610690413567
26999,26949,0.9984300693456669
26999,26947,0.9983166422970245
26998,26269,0.7779090156642772
26998,26370,0.7328429529290453
26998,26076,0.7238157737880928
26998,24465,0.7200268542376073
26998,25919,0.7184987313563478
26989,26982,0.999946184327782
26989,26964,0.9993102744121868
26989,26955,0.9988421849905798
26989,26949,0.9985791655558381
26989,26947,0.998465721569061
26988,26982,0.9999533887109122
26988,26964,0.9993174742137317
26988,26955,0.9988493814196477
26988,26949,0.9985863600899113
26988,26947,0.9984729152857962
26983,24465,0.5401219914294836
26983,22643,0.5072582767893615
26983,26982,0.4999961233974467
26983,26955,0.49944409830101055
26983,26947,0.4992558579193675
26982,26964,0.9993640558606434
26982,26949,0.9986329076570627
26982,26947,0.9985194575648925
26982,26930,0.9976503736578389
26982,26900,0.9966350435277286
26980,21896,0.4081686979078972
26980,26955,0.3995763883819147
26980,26947,0.3994257881203431
26980,26930,0.39907813888638205
26980,26925,0.3990547702303082
26976,26955,0.7494562923881339
26976,26947,0.7491738224601003
26976,26930,0.7485217621444469
26976,26925,0.7484779312604197
26976,26883,0.747055813513408
26971,24465,0.5404007658526961
26971,22643,0.5075200891868857
26971,26955,0.49970187754836587
26971,26947,0.4995135400097756
26971,26930,0.4990787771459286
26970,26955,0.49970191935742697
26970,26947,0.49951358180307887
26970,26930,0.49907881890285616
26970,26925,0.499049594547683
26970,26900,0.4985708957110128
26969,11533,0.16258257308038263
26969,26964,0.14284846555327563
26969,26955,0.1427815535467343
26969,26949,0.1427439556918682
26969,26947,0.14272773920750664
26964,26955,0.9995315875023076
26964,26947,0.9991548642451188
26964,26930,0.998285227297545
26964,26925,0.9982267711159929
26964,26900,0.9972692510633028
26962,26955,0.4997816509551016
26962,26949,0.49965004629392107
26962,26947,0.4995932833499301
26962,26925,0.4991292220615082
26962,26900,0.498650446844457
26960,11533,0.1626186989968699
26960,26955,0.12496161970976971
26960,26949,0.12492871427678505
26960,26947,0.1249145217000727
26960,26930,0.12480579953172198
26959,26955,0.5712635382110172
26959,26949,0.5711131106307982
26959,26947,0.571048229096709
26959,26930,0.5705512044045015
26959,26900,0.5699705422367737
26955,26949,0.9997366756844134
26955,26947,0.9996231001982336
26955,26930,0.9987530557109484
26955,26900,0.9977366033577206
26955,26883,0.9967970395350517
26951,26949,0.299978149501714
26951,26947,0.29994407036367526
26951,26930,0.29968300728413855
26951,26925,0.2996654588683122
26951,26883,0.2990960906218692
26949,26947,0.9998863945987556
26949,26930,0.9990161209472569
26949,26925,0.9989576219670628
26949,26900,0.9979994008669097
26949,26883,0.997059589569074
26947,26930,0.9991296274694806
26947,26925,0.9990711218427314
26947,26900,0.9981127918711173
26947,26883,0.9971728737935113
26947,26845,0.9953085164949996
26939,26269,0.7795237468605493
26939,26370,0.7343641390243785
26939,26076,0.7253182218723221
26939,24465,0.7215214375375556
26939,25919,0.7199901426816329
26930,26925,0.9999414434072009
26930,26900,0.9989822786048907
26930,26883,0.9980415417357553
26930,26845,0.9961755603382929
26930,26843,0.9960022670923067
26929,26925,0.10344315300656659
26929,26900,0.10334392816489406
26929,26883,0.10324660967836218
26929,26845,0.10305357537572601
26929,26825,0.10295332206418482
26928,24465,0.5414140064589371
26928,22643,0.5084716791833133
26928,26925,0.49998526070364113
26928,26900,0.4995056643563723
26928,26883,0.49903528224363025
26925,26900,0.999040779028978
26925,26845,0.9962338964008971
26925,26843,0.9960605930068546
26925,26825,0.9952647330621228
26925,26820,0.995191798877076
26920,26370,0.7348466096347839
26920,24465,0.7219954706090124
26920,25919,0.7204631697061917
26920,22643,0.678065666797917
26920,24199,0.6703900418915292
26916,11533,0.3439598012490245
26916,26883,0.33279610372486357
26916,26845,0.332173893814023
26916,26824,0.33184689903318654
26916,26820,0.3318264276281482
26908,26883,0.599247081457701
26908,26825,0.5975448294673357
26908,26824,0.5975379023692834
26908,26820,0.5975010406705278
26908,26817,0.5974854545663636
26900,26883,0.9990583047474584
26900,26845,0.997190422366133
26900,26825,0.9962203284929717
26900,26824,0.9962087797094213
26900,26820,0.9961473242807535
26898,26883,0.4996250941424759
26898,26845,0.4986909735749554
26898,26843,0.49860422202131804
26898,26825,0.4982058334781242
26898,26824,0.49820005797729383
26888,26845,0.2993702764153837
26888,26825,0.2990790408956241
26888,26820,0.29905712402728973
26888,26817,0.2990493229773018
26888,26802,0.2990126279669709
26885,26845,0.29941439425618044
26885,26843,0.2993623085653228
26885,26825,0.2991231158173894
26885,26820,0.2991011957191923
26885,26817,0.2990933935195729
26884,26845,0.2101311849726392
26884,26820,0.20991137997671538
26884,26817,0.20990590433665643
26884,26802,0.2098801477181446
26884,26786,0.20978543738076819
26883,26845,0.9981303569847231
26883,26843,0.9979567236851664
26883,26825,0.9971593487176866
26883,26820,0.9970862756929479
26883,26817,0.9970602662143099
26882,26845,0.5990103774898483
26882,26843,0.5989061745191797
26882,26824,0.5984207066254192
26882,26820,0.5983837904670813
26882,26817,0.598368181335961
26876,26843,0.6658757298576647
26876,26820,0.6652949329369513
26876,26817,0.6652775783962581
26876,26802,0.6651959451480395
26876,26786,0.6648957693902495
26874,26845,0.49953860268832784
26874,26825,0.4990526379949189
26874,26820,0.499016066823211
26874,26817,0.4990030497473104
26874,26802,0.49894181930584564
26873,26370,0.7368711095349518
26873,24465,0.7239845656650488
26873,25919,0.7224480432784735
26873,22643,0.6799337353944668
26873,24199,0.6722369641676726
26871,26845,0.13033026859848157
26871,26843,0.13030759653524804
26871,26825,0.1302034797803992
26871,26824,0.13020197038356954
26871,26820,0.1301939383143223
26868,26845,0.23315592578706762
26868,26824,0.23292640512854124
26868,26817,0.2329059604368446
26868,26802,0.23287738158390062
26868,26774,0.23269882371706402
26866,26269,0.782353782851445
26866,26076,0.7279514664412247
26866,25919,0.7226040438297189
26866,22643,0.6800805556931978
26866,23888,0.6661436406176939
26858,26824,0.6240110836517918
26858,26820,0.6239725888408442
26858,26817,0.6239563122135193
26858,26802,0.6238797493138116
26858,26778,0.6234503418464791
26857,26269,0.5868332700900166
26857,22643,0.5101194691837463
26857,26843,0.49962952059666227
26857,26825,0.4992303128321547
26857,26824,0.4992245254549453
26849,26843,0.149949289029095
26849,26824,0.14982774150026165
26849,26820,0.14981849873080633
26849,26817,0.1498145906426726
26849,26802,0.1497962075615921
26846,26843,0.5998660234386841
26846,26825,0.5993867259505472
26846,26824,0.5993797775001262
26846,26820,0.5993428021773712
26846,26817,0.5993271680299658
26845,26843,0.9998260414600741
26845,26825,0.9990271728935589
26845,26824,0.9990155915713848
26845,26820,0.9989539629924399
26845,26817,0.9989279047942736
26843,26825,0.9992009924392962
26843,26824,0.9991894091021015
26843,26820,0.9991277698004738
26843,26817,0.9991017070684728
26843,26802,0.998979111748418
26840,26825,0.29977659203954593
26840,26820,0.29975462405383296
26840,26817,0.29974680480921884
26840,26802,0.29971002421399917
26840,26786,0.2995747773227758
26837,26825,0.7495509418853976
26837,26820,0.7494960138996251
26837,26817,0.7494764629329354
26837,26802,0.7493844980146526
26837,26786,0.7490463314019299
26836,26370,0.7378205806441498
26836,26076,0.7287320869515576
26836,24465,0.7249174322406403
26836,24199,0.6731031530679472
26836,23888,0.666857981356969
26832,26820,0.3634803520572632
26832,26817,0.3634708704961559
26832,26802,0.3634262706046896
26832,26786,0.3632622711741831
26832,26774,0.3631476148623836
26825,26824,0.9999884074002305
26825,26820,0.9999267188089519
26825,26817,0.9999006352359788
26825,26802,0.9997779418830075
26825,26786,0.9993267829372632
26824,26820,0.999938310693582
26824,26817,0.999912226818229
26824,26802,0.9997895320429062
26824,26786,0.9993383678669961
26824,26778,0.999101391273323
26823,26820,0.3749812832370739
26823,26817,0.3749715016686041
26823,26802,0.3749254905859153
26823,26778,0.3746674347578042
26823,26770,0.3746199321065372
26820,26817,0.9999739145154516
26820,26802,0.9998512121707063
26820,26786,0.999400020161074
26820,26778,0.9991630289475772
26820,26774,0.9990845799697389
26817,26786,0.9994260906749196
26817,26778,0.999189093279231
26817,26774,0.9991106422549596
26817,26759,0.9986748524569049
26817,26726,0.9980071664547093
26815,26269,0.7837422936234753
26815,26076,0.7292434247276471
26815,24465,0.7254260933443405
26815,22643,0.6812875533432721
26815,24199,0.6735754570539134
26807,26269,0.7837876649655539
26807,26370,0.7383810385231595
26807,25919,0.7239284178363912
26807,24199,0.673614450767442
26807,23888,0.6673645351447554
26806,26269,0.783798755004093
26806,26370,0.7383914860901981
26806,25919,0.7239386609091163
26806,24199,0.6736239819332837
26806,23888,0.667373977878732
26802,26786,0.9995487408484982
26802,26778,0.999311714368346
26802,26774,0.9992332537165175
26802,26759,0.9987974104380756
26802,26726,0.9981296424970504
26797,26269,0.7839564006197375
26797,26370,0.7385399989318787
26797,24465,0.7256242692028081
26797,25919,0.7240842668508958
26797,24199,0.6737594680726362
26788,26269,0.7841255589473834
26788,26370,0.7386993575276122
26788,26076,0.7296000390378102
26788,24465,0.7257808409047302
26788,25919,0.7242405062585445
26786,26778,0.9997628665111908
26786,26770,0.9996361104005931
26786,26759,0.9992483303917877
26786,26726,0.998580260978326
26786,26721,0.9983208650680431
26781,26370,0.7388958152663149
26781,24465,0.7259738629526648
26781,25919,0.7244331186531359
26781,22643,0.6818019939178184
26781,24199,0.6740840742206687
26779,26269,0.7843515830810506
26779,26370,0.7389122875621206
26779,26076,0.7298103461944451
26779,24465,0.7259900471777891
26779,25919,0.7244492685302569
26778,26774,0.9999214853076369
26778,26770,0.999873213824154
26778,26759,0.9994853418379114
26778,26726,0.9988171139652428
26778,26721,0.9985576565289129
26774,26770,0.9999517247261989
26774,26759,0.9995638222839154
26774,26726,0.9988955419414213
26774,26721,0.9986360641322709
26774,26699,0.9973992305060904
26770,26759,0.9996120788307158
26770,26726,0.9989437662252477
26770,26721,0.9986842758891304
26770,26717,0.9985415320249227
26770,26699,0.9974473825515853
26760,26759,0.42856017338040814
26760,26726,0.42827365006587714
26760,26699,0.42763211075256824
26760,26695,0.4275267939526574
26760,26686,0.42746030608379876
26759,26721,0.99907183700434
26759,26717,0.9989290377452767
26759,26699,0.9978344636634816
26759,26695,0.9975887180098898
26759,26686,0.9974335755748515
26757,26721,0.29974822875482604
26757,26717,0.29970538516401873
26757,26699,0.299376983711684
26757,26695,0.2993032534535984
26757,26686,0.2992567065804057
26752,21896,0.41171614801568696
26752,26726,0.399778865253568
26752,26721,0.3996750168132206
26752,26717,0.3996178904944183
26752,26699,0.3991800101555465
26747,24465,0.5448842301563696
26747,26726,0.49975951698345905
26747,26721,0.4996296970982718
26747,26717,0.4995582840647851
26747,26699,0.4990108942809046
26745,26726,0.3665008983336631
26745,26721,0.366405694334688
26745,26717,0.3663533232641307
26745,26699,0.36595189249450416
26745,26686,0.36580486835367215
26738,26726,0.2998884494592071
26738,26721,0.2998105490235881
26738,26717,0.29976769652522495
26738,26699,0.29943922679536655
26738,26695,0.2993654812081178
26726,26721,0.9997402352916243
26726,26717,0.9995973404971082
26726,26699,0.9985020341241861
26726,26695,0.9982561240620222
26726,26686,0.998100877833709
26725,26269,0.7853100764367926
26725,26370,0.7398152531879723
26725,26076,0.7307021890655099
26725,24465,0.7268772215668831
26725,25919,0.725334560056961
26721,26717,0.9998570680768147
26721,26699,0.9987614771080241
26721,26695,0.9985155031505069
26721,26686,0.998360216584224
26721,26684,0.9982800766312517
26719,26717,0.3333305877945387
26719,26699,0.3329653416075894
26719,26695,0.3328833392429924
26719,26686,0.33283157008111086
26719,26676,0.3327200539277654
26717,26699,0.9989042524138996
26717,26695,0.9986582432938257
26717,26686,0.9985029345289624
26717,26684,0.998422783119795
26717,26676,0.998168383313356
26716,26699,0.24973096165286784
26716,26684,0.24961059196825344
26716,26676,0.24954699076908665
26716,26675,0.24954448760966577
26716,26660,0.24938544581370692
26714,26699,0.09989844610484791
26714,26695,0.09987384321747046
26714,26686,0.09985831109390725
26714,26676,0.09982485328601344
26714,26675,0.09982385196148869
26700,26699,0.5554262777076436
26700,26695,0.5552894878906872
26700,26686,0.555203130695836
26700,26676,0.5550171083258864
26700,26675,0.5550115410525677
26699,26695,0.9997537210203287
26699,26686,0.9995982418895832
26699,26684,0.9995180025583623
26699,26676,0.999263323688166
26699,26675,0.9992533002637404
26695,26686,0.9998444825685802
26695,26684,0.9997642234712307
26695,26676,0.9995094818635312
26695,26675,0.9994994559699387
26695,26660,0.9988624465530607
26691,26686,0.5713902447991092
26691,26684,0.5713443784008029
26691,26676,0.5711987988910674
26691,26675,0.5711930693022224
26691,26660,0.5708290317213836
26686,26684,0.9999197284190204
26686,26676,0.9996649471883983
26686,26675,0.9996549197353621
26686,26660,0.9990178112370068
26686,26644,0.9985499609214141
26684,26676,0.9997451983160439
26684,26675,0.9997351700580236
26684,26660,0.9990980104138564
26684,26650,0.9987845968542495
26684,26634,0.9983971378840305
26680,26269,0.5901902695996134
26680,22643,0.5130376248084655
26680,26676,0.499916729380103
26680,26675,0.49991171480843083
26680,26650,0.4994363862468457
26676,26675,0.9999899691861114
26676,26660,0.9993526471512165
26676,26650,0.9990391537129536
26676,26644,0.9988846400285214
26676,26634,0.9986515959923749
26675,26660,0.9993626715721822
26675,26650,0.9990491749892935
26675,26644,0.9988946597549477
26675,26634,0.9986616133811563
26675,26625,0.9982460272193713
26666,26660,0.4284804910988675
26666,26650,0.42834607826395277
26666,26634,0.4281799097718633
26666,26624,0.427991022554932
26666,26602,0.42762199730595396
26665,26650,0.39980502670964
26665,26644,0.39974319194820773
26665,26634,0.3996499301608695
26665,26625,0.3994836185911568
26665,26624,0.3994736286545819
26660,26650,0.9996863034894073
26660,26644,0.999531689715308
26660,26634,0.9992984947197168
26660,26625,0.998882643524143
26660,26624,0.9988576643415428
26652,25919,0.7276275308373221
26652,22643,0.684808422724694
26652,23888,0.6707746193015457
26652,23831,0.6694040538554913
26652,26644,0.6665502295654859
26650,26644,0.9998453377088796
26650,26634,0.9996120695378772
26650,26625,0.9991960878502995
26650,26624,0.999171100829358
26650,26602,0.998309588917136
26648,26634,0.24991013115371627
26648,26624,0.24979988583841944
26648,26602,0.2495845017293886
26648,26601,0.24958085200502164
26648,26589,0.24951893547705897
26644,26634,0.9997666957456269
26644,26624,0.9993256588253272
26644,26602,0.9984640136490881
26644,26601,0.9984494129089985
26644,26589,0.9982017155375974
26638,11533,0.25601111999921444
26638,26634,0.24998512845439147
26638,26625,0.24988109886254006
26638,26624,0.24987485005479743
26638,26602,0.24965940130962433
26635,26634,0.3333304886332898
26635,26624,0.3331834432748333
26635,26581,0.33274284477000327
26635,26580,0.3326773160278072
26635,26569,0.3325243699805693
26634,26602,0.9986970139112632
26634,26601,0.9986824097639639
26634,26589,0.9984346545902267
