19209,2273,20,545,229,2347,545,1970,2347,1970,591,1269,2273,996,2347,1216,2569,953,229,2673,2273,953,1208,140,953,3087,953,1208,1667,953,2569,229,229,2273,2347,2273,1208,953,2569,2673,2569,1269,1970,140,1970,2273,953,269,140,2673,2347,2273,996,2673,545,996,2569,1970,1970,2347,1216,1269,1208,140,1216,2569,1269,1970,545,2569,2347,545,1970,2347,2273,2673,2347,545,1269,2569,953,229,2569,1667,2569,2347,591,1216,2673,2569,2673,2273,3087,545,1970,1208,1139,2569,1269,953,2347,545,1970,2347,1269,545,2569,591,2347,1216,1208,1208,3087,1970,1667,2273,2347,1216,953,1208,1208,996,1269,545,953,229,545,1269,545,1269,1667,2569,2347,591,1216,1667,2569,1970,297,545,2273,953,2273,953,591,1208,1269,1269,545,591,2347,1216,2569,953,229,2673,545,229,2673,2273,3087,545,1970,1208,953,1208,229,545,1970,591,1269,2273,996,2347,1970,88,545,1970,2347,88,545,1970,2347,591,2673,2273,88,1970,1269,545,2569,591,2347,1216,1208,1208,3087,1970,1667,2273,2347,1216,953,1208,1208,996,1269,545,953,229,545,1269,545,1269,1667,2569,2347,591,1216,953,1208,229,545,545,953,419,229,545,419,545,2673,1208,996,269,545,953,2347,1269,545,2673,545,2569,1970,545,591,1216,2569,953,953,545,2673,545,20,996,545,1269,2273,269,545,953,2347,2569,2673,953,1208,229,545,1970,591,1269,2273,996,2347,1970,88,545,1970,2347,88,545,1970,2347,88,1970,591,1208,953,2273,1970,591,1269,2273,996,2347,1970,88,545,1970,2347,591,1208,953,2273,1970,1208,140,1269,591,545,88,1970,1269,545,2569,591,2347,1216,1208,1208,3087,1970,1667,2273,2347,1216,953,1208,1208,996,1269,545,953,229,545,1269,545,1269,1667,2569,2347,591,1216,1269,140,953,953,2273,953,2347,545,1970,2347,1970,1208,1269,229,545,2569,140,2673,2347,545,20,996,545,1269,2273,269,545,953,2347,2569,2673,953,1208,2347,545,1970,2347,1970,1208,140,953,229,545,20,2273,2347,2273,953,1667,2273,2347,1216,591,1208,229,545,1269,140,953,1667,2273,2347,1216,996,2569,1970,1970,1667,2273,2347,1216,953,1208,2347,545,1970,2347,1970,2347,1208,545,20,2273,2347,1667,2273,2347,1216,591,1208,229,545,2273,953,140,1970,545,1269,1970,297,419,2569,140,1216,953,229,1208,591,140,269,545,953,2347,1970,2273,2347,1269,545,2569,591,2347,2273,2673,545,1970,591,1216,545,591,3087,545,229,1269,1208,1208,2347,1970,140,1970,545,1269,1970,297,419,2569,140,1216,953,229,1208,591,140,269,545,953,2347,1970,2273,2347
19191,2569,229,229,1970,1970,2673,1970,140,996,996,1208,1269,2347,2347,1208,1269,545,2569,591,2347,229,545,419,2347,1208,1208,2673,1970,1970,2347,2569,953,229,2569,2673,1208,953,545,2347,1216,2569,953,3087,1970,1208,1269,1970,140,297,269,2273,2347,2347,2273,953,2569,996,140,2673,2673,1269,545,140,545,1970,2347,1667,545,2569,996,996,1269,545,591,2273,2569,2347,545,1139,1208,140,1970,996,545,953,229,2273,953,2347,1216,545,2347,2273,269,545,2347,1208,1667,1208,1269,3087,1208,953,2347,1216,545,1970,545,591,1216,2569,953,545,1970,996,2673,545,2569,1970,545,996,1269,1208,419,2273,229,545,545,953,1208,140,1216,2273,953,1208,1269,269,2569,2347,2273,1208,953,1970,1208,2347,1216,2569,2347,1208,2347,1216,545,1269,1970,591,2569,953,1269,545,419,2273,545,1667,1139,1208,140,1269,996,140,2673,2673,1269,545,140,545,1970,2347,2347,1216,545,2347,1216,1269,545,545,2273,545,2673,229,1970,297,545,2673,1208,1667,2569,1269,545,269,2569,953,229,2569,2347,1208,1269,1139,297,545,1208,1269,545,1970,140,297,269,2273,2347,2347,2273,953,2569,996,140,2673,2673,1269,545,140,545,1970,2347,996,2673,545,2569,1970,545,269,2569,3087,545,1970,140,1269,545,2347,1216,545,1208,2673,2673,1208,1667,2273,953,2273,1970,229,1208,953,545,1208,1269,3087,2347,1216,545,1269,545,996,1208,1970,2273,2347,1208,1269,1139,1216,2347,2347,996,1970,2273,2347,1216,140,297,591,1208,269,2569,591,545,297,1208,1208,3087,1269,545,2569,591,2347,2569,953,229,591,1269,545,2569,2347,545,1139,1208,140,1269,297,1269,2569,953,591,1216,1269,1208,269,269,2569,1970,2347,545,1269,1269,140,953,1139,2569,1269,953,2273,953,2347,1216,545,1269,545,996,1208,1970,2273,2347,1208,1269,1139,1269,1208,1208,2347,2273,1139,1208,140,419,545,2273,20,545,229,2569,297,140,1208,1269,2569,229,229,545,229,591,1208,229,545,2347,1216,2569,2347,1970,1216,1208,140,2673,229,297,545,2347,545,1970,2347,545,229,2569,229,229,2347,545,1970,2347,1970,545,953,1970,140,1269,545,2347,1216,545,2347,545,1970,2347,1970,140,2273,2347,545,996,2569,1970,1970,545,1970,1139,2569,1269,953,2347,545,1970,2347,2347,2273,996,1139,2569,1269,953,2347,545,1970,2347,1667,2569,2347,591,1216,2347,545,1970,2347,953,2569,269,545,2273,1970,1216,545,2673,996,140,2673,2273,953,229,545,419,545,2673,1208,996,269,545,953,2347,1269,140,953,1139,2569,1269,953,2347,545,1970,2347,996,1269,1208,229,2347
19188,2569,229,229,1970,1269,545,2569,591,2347,140,953,1970,2347,2569,297,2673,545,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,1208,419,545,1269,419,2273,545,1667,2347,1216,2273,1970,996,1269,2569,229,229,1970,2569,953,545,1667,1216,1208,1208,3087,591,2569,3087,3087,545,229,1269,545,2569,591,2347,140,953,1970,2347,2569,297,2673,545,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,2347,1216,2273,1970,953,545,1667,1216,1208,1208,3087,2347,1269,2273,545,1269,1970,2569,591,2569,2673,2673,297,2569,591,3087,297,545,1208,1269,545,1667,545,591,1208,269,269,2273,2347,2569,2273,297,545,1269,2347,1269,545,545,88,1970,20,2347,1216,545,1208,1269,229,545,1269,1208,591,1208,953,1970,1208,2673,545,2673,1208,1970,1970,1216,1208,140,2673,229,297,545,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,140,1970,545,2673,2569,1139,1208,140,2347,545,545,591,2347,140,953,591,2347,2273,1208,953,269,1139,591,1208,269,996,1208,953,545,953,2347,140,953,1970,2347,2569,297,2673,545,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,591,1208,953,1970,1208,2673,545,2673,1208,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,2273,1269,545,229,140,1970,545,2673,2569,1139,1208,140,2347,545,545,591,2347,591,1208,953,1970,1208,2673,545,2673,1208,140,1970,545,2673,2569,1139,1208,140,2347,545,545,591,2347,2273,1269,545,229,1269,545,2347,140,1269,953,953,140,2673,2673,269,1208,1269,545,229,545,2347,2569,2273,2673,1970,1269,545,2569,591,2347,140,953,1970,2347,2569,297,2673,545,140,1970,545,1970,953,2569,996,1970,1216,1208,2347,297,545,1208,1269,545,591,1208,269,269,2273,2347,229,1208,545,1970,953,1208,2347,2569,2673,2673,1208,1667,1208,1269,2569,591,2673,545,2569,1269,229,1208,1667,953,140,953,591,2347,2273,1208,953,2347,1208,297,545,1269,545,2347,140,1269,953,545,229,1970,545,297,269,2569,1269,3087,297,2569,545,1667,2569,1970,2347,1216,2273,1970,1667,2569,1970,1139,1208,140,545,20,996,545,591,2347,2347,1208,1208,2273,2347,229,1208,545,1970,2569,2673,2673,1208,1667,2347,2569,3087,2273,953,2569,1970,545,591,1208,953,229,2569,1269,140,269,545
19186,269,1208,229,545,1269,953,545,419,545,953,2347,1970,1139,1970,2347,545,269,140,1970,545,1208,591,140,1970,2273,953,1208,591,140,1970,1208,140,2347,1208,1269,1208,953,1208,591,140,1970,1208,953,297,2673,140,1269,953,1208,2347,545,2347,1216,2273,1970,996,1269,1269,545,140,2273,1269,545,1970,591,1216,2569,953,545,1970,2273,953,88,1970,229,1208,269,1216,2347,2347,996,1970,2273,2347,1216,140,297,591,1208,269,88,1970,229,1208,269,88,1970,229,1208,269,996,140,2673,2673,1208,2347,1216,545,1269,1667,2273,1970,545,88,545,1970,2347,2347,545,1970,2347,1970,2569,2273,2673,545,419,545,1269,1139,2347,1216,2273,953,996,2569,1970,1970,545,1970,1667,1216,545,953,2273,269,2569,3087,545,2347,1216,545,88,1970,229,1208,269,591,1216,2569,953,545,1970,2673,1208,591,2569,2673,2673,1139,2347,1216,2273,1970,996,1269,2569,2673,1970,1208,2273,953,591,2673,140,229,545,1970,1216,2347,2347,996,1970,2273,2347,1216,140,297,591,1208,269,2569,591,545,297,1208,1208,3087,1269,545,2569,591,2347,996,140,2673,2673,297,545,1208,1269,545,2347,1216,545,591,1216,2569,953,545,1970,2273,953,2347,1216,2273,1970,996,1269,1667,545,269,2569,996,996,545,229,1208,953,1208,591,140,1970,2569,953,229,1208,953,297,2673,140,1269,2347,1208,1208,591,140,1970,2569,953,229,297,2673,140,1269,297,140,2347,1667,545,229,2273,229,1970,1208,2273,953,2347,1216,545,591,2569,996,2347,140,1269,545,996,1216,2569,1970,545,229,1208,2273,953,1970,1208,2273,953,2347,1216,545,591,2569,996,2347,140,1269,545,996,1216,2569,1970,545,545,953,2569,297,2673,545,1970,140,1970,2347,1208,2673,2273,1970,2347,545,953,2347,1208,2569,2673,2673,545,419,545,953,2347,1970,2569,1970,2273,2347,1216,545,1139,297,140,297,297,2673,545,229,1667,1216,2273,591,1216,1667,1208,1269,3087,1970,1269,545,2569,2347,1667,1216,545,953,1139,1208,140,2673,2273,1970,2347,545,953,1208,953,2347,1216,545,229,1208,591,140,269,545,953,2347,1667,2273,2347,1216,2347,1216,545,269,1208,229,545,1269,953,545,419,545,953,2347,1970,1139,1970,2347,545,269,1667,545,953,1208,2673,1208,953,545,1269,2673,2273,1970,2347,545,953,1208,953,2347,1216,545,229,1208,591,140,269,545,953,2347,1208,1269,545,419,545,953,2347,1970,297,140,2347,1269,2569,2347,1216,545,1269,1667,2273,2347,1216,2673,2273,1970,2347,545,953,2347,1208,2347,1216,545,1269,545,2569,591,2347,1269,1208,1208,2347
19184,2569,229,229,953,545,1667,2347,545,1970,2347,591,2673,2273,1970,140,269,269,2569,1269,1139,2347,1216,2273,1970,996,1269,2569,229,229,1970,2569,953,545,1667,2347,545,1970,2347,591,2673,2273,2347,1216,2569,2347,1667,2273,2673,2673,2569,2673,2673,1208,1667,140,1970,2347,1208,1269,545,269,1208,419,545,1970,1208,269,545,1208,2347,1216,545,2347,545,1970,2347,1970,591,1269,2273,996,2347,1970,2273,953,2569,419,1208,1269,1208,591,1208,269,269,2569,953,229,2673,2273,953,545,1208,996,2347,2273,1208,953,1970,229,545,2347,2569,2273,2673,1970,2347,1216,545,1269,545,2569,1269,545,1208,140,1269,297,2569,1970,545,2347,545,1970,2347,1970,591,1269,2273,996,2347,1970,2347,545,1970,2347,1208,1970,1970,2347,545,1970,2347,1667,1667,1667,2347,545,1970,2347,297,140,2273,2673,229,229,545,419,2347,1208,1208,2673,1970,297,140,2347,1667,545,2569,2673,1970,1208,2273,953,591,2673,140,229,545,2347,1216,545,1970,545,1970,591,1269,2273,996,2347,1970,229,545,297,140,2347,545,1970,2347,2347,545,1970,2347,1667,1667,1667,419,2569,1269,2273,2569,953,2347,2347,545,1970,2347,996,1269,1208,229,1667,1667,1667,2347,545,1970,2347,996,1269,1208,229,1667,1667,1667,419,2569,1269,2273,2569,953,2347,229,545,297,140,2347,545,1970,2347,996,545,1269,1970,2273,1970,2347,545,953,2347,229,545,297,140,2347,545,1970,2347,996,1269,1208,229,2347,545,1970,2347,297,140,2273,2673,229,996,1269,1208,229,229,545,297,140,2347,545,1970,2347,297,140,2273,2673,229,229,545,419,2347,1208,1208,2673,1970,2347,1216,545,1970,545,1970,591,1269,2273,996,2347,1970,2569,1269,545,88,140,1970,2347,996,545,1269,269,140,2347,2569,2347,2273,1208,953,1970,1208,2347,1216,545,297,2569,1970,545,1970,591,1269,2273,996,2347,1970,1667,2273,2347,1216,2347,1216,545,1970,545,419,2569,1269,2273,2569,2347,2273,1208,953,1970,953,1208,229,545,545,953,419,996,1269,1208,229,140,591,2347,2273,1208,953,419,2569,1269,2273,2569,953,2347,2347,1269,140,545,229,545,297,140,2347,1269,140,545,1269,545,2673,545,2569,1970,545,591,1216,2569,953,953,545,2673,1970,2347,2569,297,2673,545,996,545,1269,1970,2273,1970,2347,545,953,2347,2347,1269,140,545,297,140,2273,2673,229,2347,1269,140,545,2347,1216,545,2273,1970,1970,140,545,2273,1970,2347,1216,2569,2347,2347,1216,545,1970,545,1970,591,1269,2273,996,2347,2569,2673,2273,2569,1970,545,1970,2569,1269,545,1216,2569,1269,229,2347,1208
19174,1269,545,2569,591,2347,1208,1269,591,1269,545,2569,2347,545,545,419,545,953,2347,1216,2569,953,229,2673,545,1970,2273,953,2569,2347,140,1269,545,2347,1216,2273,1970,996,1269,1269,545,2569,591,2347,1208,1269,1970,2347,1216,545,1269,545,2569,591,2347,229,1208,269,591,1269,545,2569,2347,545,545,419,545,953,2347,1216,2569,953,229,2673,545,2569,996,2273,1970,1208,2347,1216,2569,2347,2347,1216,545,1970,2273,953,2569,2347,140,1269,545,2273,1970,1970,2273,269,996,2673,545,1269,2569,953,229,269,1208,1269,545,297,2569,1269,545,297,1208,953,545,1970,996,1269,545,419,2273,1208,140,1970,2673,1139,591,1269,545,2569,2347,545,545,419,545,953,2347,1216,2569,953,229,2673,545,1269,545,2347,140,1269,953,545,229,2569,953,1208,297,88,545,591,2347,1667,2273,2347,1216,2347,1216,545,269,545,2347,1216,1208,229,1970,1970,545,2347,2673,2273,1970,2347,545,953,545,1269,2569,953,229,591,2673,545,2569,1269,1667,1216,2273,591,1216,269,2273,269,2273,591,545,229,1667,1216,2569,2347,140,1970,545,545,419,545,953,2347,229,1208,545,1970,2569,2347,545,1269,140,2347,2273,2673,2273,2273,953,2347,1216,2273,1970,2569,996,2273,2273,953,2347,545,1269,953,2569,2673,2673,1139,996,1269,2273,269,2569,1269,2273,2673,1139,297,545,1216,2273,953,229,140,1970,545,545,419,545,953,2347,2273,2347,269,2569,3087,545,1970,2673,2273,2347,2347,2673,545,1970,545,953,1970,545,1208,1269,591,1269,545,2569,2347,545,545,419,545,953,2347,1216,2569,953,229,2673,545,2347,1208,1216,2569,419,545,2347,1216,2273,1970,1970,2273,953,2569,2347,140,1269,545,2273,2347,1970,2347,2273,2673,2673,269,2569,3087,1970,545,1970,1970,545,953,1970,545,1208,1269,140,1970,545,545,419,545,953,2347,2347,1208,1216,2569,419,545,2347,1216,2273,1970,1970,2273,953,2347,140,2569,1269,545,297,140,2347,2273,2347,1970,953,1208,2347,2273,269,996,1208,1269,2347,2569,953,2347,2347,1216,2569,2347,2347,1216,545,591,1208,1269,545,2569,996,2273,1667,1208,1269,3087,1970,2347,1216,545,1970,2569,269,545,2569,2673,2673,1667,545,1269,545,2569,2673,2673,1139,1667,2569,953,2347,2347,1216,2273,1970,591,1208,1269,545,2569,996,2273,2347,1208,229,1208,2273,1970,2569,229,229,2569,953,545,419,545,953,2347,2569,953,229,1269,545,269,1208,419,545,2569,953,229,545,419,545,953,2347,1970,1208,1269,2347,1208,2673,2273,3087,545,2569,297,545,2347,2347,545,1269,953,2569,2347,2273,419,545
19142,1269,545,545,953,2569,297,2673,545,229,229,545,297,140,2347,1269,2569,591,2273,953,545,2569,2347,140,1269,545,1208,1269,1208,2673,229,1269,545,591,1208,953,591,2273,2673,545,1269,1208,1269,3087,2273,2347,1667,2569,1970,2347,545,269,996,1208,1269,2569,1269,2273,2673,1139,1269,545,269,1208,419,545,229,297,1139,1970,545,297,269,2569,1269,3087,297,2569,545,419,2273,2569,996,1269,953,545,1667,2673,1139,1269,545,2569,229,229,545,229,2347,1269,2569,591,2273,953,2273,1970,1970,2273,269,996,2673,2273,2273,545,229,1970,2273,953,591,545,2347,1216,545,2673,2569,953,545,1970,229,2569,2347,2569,2347,1139,996,545,229,1208,545,1970,953,1208,2347,1269,545,140,2273,1269,545,2347,1216,545,2673,1208,1970,1970,1139,591,1208,953,419,545,1269,1970,2273,1208,953,297,545,2347,1667,545,545,953,996,1269,2273,1208,1269,2273,2347,1139,2569,953,229,545,20,996,2273,1269,2569,2347,2273,1208,953,2347,2273,269,545,419,2569,2673,140,545,1970,1970,545,297,269,2569,1269,3087,297,2569,545,269,545,953,2347,2273,1208,953,545,229,2347,1216,2569,2347,1216,545,1269,545,269,1208,419,545,229,2347,1216,2273,1970,297,545,591,2569,140,1970,545,2273,2347,269,2273,1216,2347,545,2347,2273,953,2347,1216,545,1667,2569,1139,1208,1216,2273,1970,996,2673,2569,953,953,545,229,229,2273,1970,591,1269,545,2347,545,1970,1139,953,591,1269,545,2569,591,2347,1208,1269,2273,269,953,1208,2347,1970,140,1269,545,2273,2347,1216,2569,2347,591,1208,953,591,545,1269,953,1970,2347,2273,2673,2673,2569,996,996,2673,2273,545,1970,297,140,2347,88,140,1970,2347,2273,953,591,2569,1970,545,2273,1216,2569,419,545,1208,953,2673,1139,1269,545,2569,229,229,545,229,2273,2347,2347,1208,2347,1216,545,1208,2673,229,1269,545,591,1208,953,591,2273,2673,545,1269,1208,1269,3087,1208,1269,953,1208,1667,1208,1269,545,20,2569,269,996,2673,545,2347,1216,2273,1970,591,1208,229,545,88,1970,591,2673,2569,1970,1970,545,20,2569,269,996,2673,545,545,20,2347,545,953,229,1970,1269,545,2569,591,2347,591,1208,269,996,1208,953,545,953,2347,1970,2347,2569,2347,545,229,2273,229,269,1208,140,953,2347,2569,2673,1970,545,591,1208,269,996,1208,953,545,953,2347,229,2273,229,269,1208,140,953,2347,2347,1216,2273,1970,1970,545,2347,1970,2347,2569,2347,545,229,2273,229,269,1208,140,953,2347,2347,1269,140,545,1269,545,953,229,545,1269,1269,545,2347
19138,2273,20,1970,996,545,2673,2673,2273,953,545,1269,1269,1208,1269,1970,2569,953,229,2347,1139,996,1208,1970,1208,419,545,1269,419,2273,545,1667,2273,591,1208,269,269,2273,2347,2347,545,229,2569,2347,1139,996,1208,1970,1208,2347,1208,2569,419,1208,2273,229,545,269,297,2569,1269,1269,2569,1970,1970,269,545,953,2347,2273,1216,2273,229,2347,1216,545,2273,20,1970,1208,269,545,1667,1216,545,1269,545,2273,953,2347,1216,2273,1970,229,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19136,229,1269,2569,2347,229,545,419,2347,1208,1208,2673,1970,1269,545,269,1208,419,545,2273,953,1970,996,545,591,2347,545,229,1667,2273,953,229,1208,1667,545,419,2569,2673,2273,269,996,1269,1208,419,545,1970,2569,953,229,545,953,545,1269,2569,2673,2273,953,2273,2347,2273,2569,2673,2273,2569,2347,2273,1208,953,229,545,2347,545,591,2347,2273,1208,953,2673,1208,2273,591,1269,545,269,1208,419,545,1970,269,1208,1970,2347,229,545,419,2347,1208,1208,2673,1970,2273,953,1970,996,545,2347,545,229,1667,2273,953,229,1208,1667,545,419,2569,2673,140,1970,2569,545,2569,2673,2673,2347,1216,2569,2347,1970,2273,953,2347,1216,545,591,1269,2273,2347,2273,591,2569,2673,996,2569,2347,1216,140,996,229,2569,2347,545,1970,2347,1216,545,2347,545,1970,2347,1970,591,1269,2273,996,2347,2347,1208,269,2569,3087,545,2273,2347,545,2569,1970,2273,545,1269,2347,1208,2347,545,1970,2347,1208,2347,1216,545,1269,140,1269,2673,1970,2347,1216,2273,1970,996,1269,2569,2673,1970,1208,269,2569,3087,545,1970,2569,591,1208,953,2347,1269,1208,419,545,1269,1970,2273,2569,2673,591,1216,2569,953,545,2347,1208,2569,2673,1667,2569,1139,1970,1970,1216,1208,1667,297,1208,2347,1216,591,1208,269,996,1208,953,545,953,2347,1970,2569,953,229,996,1269,1208,2273,2673,545,1269,2347,2569,297,1970,2347,1216,2273,1970,2673,545,2347,1970,140,1970,1269,545,269,1208,419,545,2347,1216,545,1970,545,2347,2273,953,2347,545,1269,419,2569,2673,996,1208,2673,2673,2273,953,2673,1208,2273,591,2347,1216,2569,2347,269,2569,1139,1216,2569,419,545,591,1208,953,2347,1269,2273,297,140,2347,545,229,2347,1208,1970,1208,269,545,591,2569,1970,545,1970,1208,140,1970,2569,2273,2673,2273,953,2347,1208,1970,1216,1208,1667,2347,1216,545,2347,2569,297,1970,2569,953,229,2569,2673,1970,1208,1970,1208,269,545,2347,2273,269,545,1970,2673,545,2569,229,2347,1208,591,1208,953,140,1970,2273,1208,953,1970,545,269,2273,1269,545,140,545,953,2347,140,545,1970,2347,2273,1208,953,1970,1208,1667,1216,1139,229,1208,953,2347,2273,1970,545,545,2347,1216,545,2347,2569,297,1970,2273,591,2569,953,1269,545,419,545,1269,2347,2347,1216,2273,1970,591,1216,2569,953,545,2273,2273,2347,1970,1269,1208,1667,953,545,229,1208,953,2347,1216,1208,140,1216,1216,545,1269,545,1970,1667,1216,2569,2347,2347,1216,545,545,20,2347,545,953,1970,2273,1208,953,2673,1208,1208,3087,1970,2673,2273,3087,545,2273,1139,1208,140
19121,229,545,591,1208,140,996,2673,545,140,996,229,2569,2347,545,996,1269,2273,1208,1269,2273,2347,1139,2347,1269,2569,591,3087,2273,953,1269,1208,269,1970,591,1216,545,229,140,2673,545,1269,996,2569,591,3087,2569,545,1970,140,269,269,2569,1269,1139,1667,545,229,2673,2273,3087,545,2347,1208,1269,545,269,1208,419,545,2569,229,545,996,545,953,229,545,953,591,1139,1208,953,2347,1216,545,1970,591,1216,545,229,140,2673,545,1269,996,1269,2273,1208,1269,2273,2347,1139,1269,1208,269,1269,545,2569,591,2347,2273,953,2347,545,1269,953,2569,2673,1970,297,1139,1269,545,996,2673,2569,591,2273,953,2273,2347,1667,2273,2347,1216,2569,591,140,1269,1269,545,953,2347,2673,2569,953,545,996,1269,2273,1208,1269,2273,2347,1139,1667,1216,2273,591,1216,1667,2273,2673,2673,297,545,2347,1269,2569,591,3087,545,229,2273,953,1970,2273,229,545,1269,545,2569,591,2347,2347,1216,2273,1970,996,1269,1970,2347,2569,1269,2347,1970,591,140,1269,1269,545,953,2347,2673,2569,953,545,996,1269,2273,1208,1269,2273,2347,1139,2273,269,996,2673,545,269,545,953,2347,2569,2347,2273,1208,953,297,1139,1970,545,2347,2347,2273,953,2273,2347,545,419,545,1269,1139,1667,1216,545,1269,545,2347,1216,2569,2347,2347,1216,545,1970,591,1216,545,229,140,2673,545,1269,996,1269,2273,1208,1269,2273,2347,1139,2273,1970,1970,545,2347,2569,953,229,2347,1216,545,953,2673,1208,2273,953,269,2273,1970,269,2569,2347,591,1216,545,1970,2569,1970,2347,1216,545,1139,1208,591,591,140,1269,2347,1216,545,953,545,20,2347,1970,2347,545,996,2273,1970,2347,1208,2273,953,419,545,1970,2347,2273,2569,2347,545,269,2273,1970,269,2569,2347,591,1216,545,1970,2569,953,229,1216,2569,953,229,2673,545,2347,1216,545,269,2569,996,996,1269,1208,996,1269,2273,2569,2347,545,2673,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
