pr,committer,weight
34120,Ethan Arrowood,0.9997390957890688
34117,Guy Bedford,1.0040192314669685
34112,Mary Marchini,0.9993038412138627
34112,mary marchini,1.0328167268953907
34111,Austin Wright,1.0014610091576686
34106,Robert Nagy,0.9990653617714502
34103,Robert Nagy,1.0002106848840415
34102,Robert Nagy,0.9989759302798096
34101,Robert Nagy,0.999433514382329
34097,Luigi Pinca,0.9987336684009637
34089,Mary Marchini,0.9982900303320562
34088,Robert Nagy,0.9985370134535005
34087,James M Snell,0.9978253076744457
34082,Robert Nagy,0.9978867065047022
34080,Philip Chimento,0.9921203232032973
34070,Denys Otrishko,0.9971997997213514
34068,Robert Nagy,0.9972779374201787
34062,wenningplus,0.9969798469609892
34060,Shelley Vohr,0.9969020031493092
34057,Anna Henningsen,1.0069866408336237
34055,ExE Boss,1.0427519764817716
34052,CyaCal,0.9965464964540036
34048,Andrey Pechkurov,0.9949813417943806
34042,Mateusz Krawczuk,0.9958306302972251
34039,Michael Dawson,0.9992150922841925
34035,Robert Nagy,0.9952043241321259
34033,James M Snell,0.9951975423536127
34033,Benjamin Kaduk,0.9564705483958358
34033,Tatsuhiro Tsujikawa,0.9711593122315105
34024,Derek Lewis,0.995022472389121
34023,Anna Henningsen,0.9954418738389643
34022,Denys Otrishko,0.9942808971540114
34020,Mateusz Krawczuk,0.9945088501756066
34017,Denys Otrishko,0.9919841464211077
34014,Bartosz Sosnowski,0.9897655977882271
34013,rickyes,0.9965370592599849
34010,Ben Noordhuis,0.9945681854464182
34009,Dennis Ameling,1.0092624103825614
34008,Gerhard Stoebich,0.9819493153517938
34006,Mateusz Krawczuk,0.9919706765935214
34003,Robert Nagy,0.9934390873534192
34002,ExE Boss,0.9933820968303727
33996,Alec Davidson,0.9943160774410774
33994,Pranshu Srivastava,0.9934090334620148
33992,WilliamConnatser,0.9935221286137235
33991,rickyes,1.001307014711289
33990,Robert Nagy,0.9925067938726344
33989,Robert Nagy,0.9924929838978869
33983,Mateusz Krawczuk,0.99270942785131
33982,Robert Nagy,0.9922475790592709
33981,Robert Nagy,0.9933880289968652
33973,falguniraina,0.9919011595843492
33971,Anna Henningsen,0.9918748185881806
33950,James M Snell,0.9933445415602384
33949,Denys Otrishko,0.9912622135507372
33944,patr0nus,0.9912661583507489
33943,Mateusz Krawczuk,0.9915939858353651
33929,Mateusz Krawczuk,0.9907180914750958
33912,James M Snell,0.9670484296992917
33911,Pranshu Srivastava,0.9897559330735516
33895,James M Snell,0.9888975785150355
33886,Derek Lewis,0.988228531725299
33882,Fábio Santos,0.9881472592302334
33879,Anna Henningsen,0.9881325648728666
33875,Carlos Lopez,0.9884179658344527
33875,Carlos Lopez Jr,0.9907724813301322
33871,legendecas,0.9905910034250551
33867,Anna Henningsen,0.988172756661442
33862,Michaël Zasso,0.9869570434952978
33860,Nathan Blair,0.9866638547834669
33859,Gus Caplan,0.9865622686999304
33856,Bradley Farias,0.9877646370830638
33855,Alba Mendez,0.9864195973746082
33854,Yash Ladha,0.9862333463949843
33851,Anna Henningsen,0.9861003473431634
33849,Ethan Davis,0.9857936177507838
33841,73mp74710n,0.9853808378323464
33839,sapics,0.9840069698420991
33833,James M Snell,0.985019583405898
33830,Denys Otrishko,0.9848096219014861
33818,Pranshu Srivastava,0.9859596549184373
33815,Anna Henningsen,0.9841561084987809
33814,Michael Dawson,0.9841519088151631
33813,Mateusz Krawczuk,0.9874307136429981
33812,Gus Caplan,0.9840064437478231
33807,Joyee Cheung,0.9839682610951468
33804,Mathias Buus,0.983832823566121
33803,wenningplus,0.9840702009317311
33803,zhangwinning,0.993758272378962
33801,Stephen Belanger,0.983035133119993
33788,wenningplus,0.9831904957138434
33785,Derek Lewis,0.9826724954284222
33777,cjihrig,0.9818699718690738
33774,Brian White,0.9817892103506327
33772,Anna Henningsen,0.9735600882123219
33768,Pranshu Srivastava,0.9814018779751539
33765,Pranshu Srivastava,0.981541660317253
33758,cjihrig,0.9810073435504469
33751,Andrey Pechkurov,0.9808619691890166
33740,mrelarsen,0.9807739028213166
33739,mrelarsen,0.9807601427348195
33736,Andrey Pechkurov,0.9806947256327644
33735,Rishabh Mehan,1.0250444390927957
33730,Denys Otrishko,0.9802109819458957
33716,Andrew Casey,1.068097634027052
33711,Sagar Jadhav,0.9792493269621503
33708,Daniel Bevenius,0.9796580001705271
33690,Anna Henningsen,0.9802758071918902
33689,Dennis Ameling,0.9815499221138588
33676,Mattias Runge-Broberg,0.9771065631168002
33675,Mattias Runge-Broberg,0.9770628065859747
33669,Brian White,0.9766626302536863
33663,Denys Otrishko,0.9763319573246836
33662,Mattias Runge-Broberg,0.9763677453413445
33661,Zirak,0.9762216816150006
33660,himself65,0.9764086446360153
33660,扩散性百万甜面包,0.9767090263264833
33659,Benjamin Gruenbaum,0.9763510282421921
33655,Robert Nagy,0.9820159796601068
33654,Robert Nagy,0.9860493282925037
33649,Benjamin Gruenbaum,0.984493021994369
33649,James M Snell,0.9934190957709277
33648,James M Snell,0.9763109694889508
33647,James M Snell,0.9763008633388482
33646,Benjamin Gruenbaum,0.9815250838122606
33637,Benjamin Gruenbaum,0.9754051379455474
33636,Priyank Singh,0.976238698043655
33635,antsmartian,0.9752185649599443
33633,KuthorX,0.975379041855335
33624,Benjamin Gruenbaum,0.9800987061709044
33617,rickyes,0.9753461951522296
33616,Benjamin Gruenbaum,0.9746323780186926
33612,Benjamin Gruenbaum,0.976912261987693
33612,Ruben Bridgewater,0.9769384397132242
33611,Benjamin Gruenbaum,0.9756899635725068
33600,Gus Caplan,0.9742904575568907
33597,Gus Caplan,0.9742533996574945
33588,Myles Borins,0.9738799180744224
33587,AshCripps,0.9738653234935563
33584,AshCripps,0.9845987261262046
33575,Anna Henningsen,0.9733320090270521
33570,Gabriel Schulhof,0.9731612914344595
33563,Derek Lewis,0.9704797503591954
33561,Derek Lewis,0.9725664602200162
33560,Stephen Belanger,0.9725166354638337
33556,James M Snell,0.9709617547602462
33553,Dominykas Blyžė,0.9683032371125043
33549,Michaël Zasso,0.9722067490898311
33547,Tom Nagle,0.972931497082898
33534,Antoine du HAMEL,0.9713381752147916
33534,Antoine du Hamel,1.1990162037037038
33533,Antoine du HAMEL,0.9425232524599443
33533,Myles Borins,1.0117903078921398
33527,James M Snell,0.975247336874492
33522,Ruben Bridgewater,0.9711238632281871
33519,Pranshu Srivastava,0.9795148267879948
33518,Pranshu Srivastava,0.9793124628105772
33516,unknown,0.9736731176709625
33515,Robert Nagy,0.984549227911297
33513,Sourav Shaw,0.9698494826134912
33513,James M Snell,1.003026702005689
33511,Richard Townsend,0.9697834668524323
33506,Pranshu Srivastava,0.9702795042135918
33504,James M Snell,1.1107461256482452
33501,Jan Krems,0.9691965361227215
33500,Ash Cripps,0.9691680544670846
33491,bcoe,0.9717545969755021
33490,Pranshu Srivastava,0.9691019782354192
33486,Derek Lewis,0.968363792377801
33485,Derek Lewis,0.9683571708463949
33482,Ben Bucksch,0.9683318929234878
33481,Derek Lewis,0.968263036253338
33476,Geoffrey Booth,0.968024815322768
33475,Dan Fabulich,0.9678906612823639
33473,dfabulich,0.9678365007836991
33472,Ben Noordhuis,0.969529800973093
33461,Ruben Bridgewater,0.9671030981510508
33453,Anna Henningsen,0.9666372688813422
33450,Ruben Bridgewater,0.9660919872818221
33449,Ruben Bridgewater,0.9684805717012075
33442,Derek Lewis,0.9662242304510624
33437,Michaël Zasso,0.9652077074625566
33433,Antoine du HAMEL,0.9701821420019157
33432,Benjamin Gruenbaum,0.9651219087425984
33431,Ben Noordhuis,0.9651035680076628
33424,Bradley Farias,0.9863971794090328
33416,Guy Bedford,1.0401523550882388
33408,Gus Caplan,0.9638203424329502
33405,iskore,0.9637371923255544
33399,Maël Nison,0.9634894200626959
33395,Kirill Shatskiy,0.9762790531028678
33394,Anna Henningsen,0.9635645472323813
33390,Robert Nagy,0.9644053184503076
33387,Andrey Pechkurov,0.9627812200670498
33386,Ben Noordhuis,0.965049135391269
33380,James M Snell,0.9623267698537095
33371,Osher,0.962104422457332
33364,Matteo Collina,0.9619027378671775
33360,Tobias Nießen,0.9676102149367235
33360,Anna Henningsen,0.9927832654853129
33354,rickyes,0.9613371275615349
33347,Anna Henningsen,0.9609432439517299
33346,Jay Patel,0.962481818504328
33338,Ruben Bridgewater,0.9604174195257169
33337,Michaël Zasso,0.9603950877307559
33337,Steven R. Loomis,0.9613225284453732
33329,Rich Trott,0.9598364300330895
33328,Yash Ladha,0.9597798386160455
33325,Michaël Zasso,0.9597046524875189
33320,Anna Henningsen,0.9593725872228027
33319,Daniel Bevenius,0.9593893859572739
33317,Gus Caplan,0.9594060588372954
33308,Paolo Insogna,0.9588056571461744
33308,Shogun,0.9599969069284802
33298,Anna Henningsen,0.9588167867612911
33294,Ruben Bridgewater,0.9584155007933743
33292,Anna Henningsen,0.9388544055255622
33291,James M Snell,0.961984046644607
33289,James M Snell,0.9583689490087658
33288,James M Snell,0.9583169155636828
33286,Ruben Bridgewater,0.9582825797486357
33285,Michaël Zasso,0.9582810504469987
33281,Ethan Arrowood,0.9581900089254615
33278,delvedor,0.9579484953703703
33277,rickyes,0.9579735982308719
33272,Anna Henningsen,0.9576455829850227
33268,Daniel Bevenius,0.9727927351822826
33268,Richard Lau,0.9573973753337978
33256,Myles Borins,0.9567747608992221
33255,Gabriel Schulhof,0.9567140786456519
33252,James M Snell,0.9566013946940671
33246,Joakim Hedlund,0.9564701024251132
33236,James M Snell,0.955902696142459
33236,Rich Trott,0.9561736165534657
33235,Tobias Nießen,0.9559038299663299
33232,ConorDavenport,0.9032028710234529
33232,himself65,0.9391989851822826
33232,cjihrig,0.9493798001567398
33232,thecodrr,0.9447934535730872
33232,Joyee Cheung,0.9439650092882852
33232,rickyes,0.9451997404601572
33232,Sam Roberts,0.940190913263381
