pr,committer,weight
18412,Sebastian Markbage,0.9265541822680832
18409,Brian Vaughn,0.9268910549460119
18405,Dominic Gannaway,0.9264716308196912
18397,Brian Vaughn,0.9252937510884709
18395,Dominic Gannaway,0.9251597693892952
18391,Sebastian Markbage,0.9247023394868222
18388,Rick Hanlon,0.9273594194458958
18384,Andrew Clark,0.9242526135396106
18380,Dan Abramov,0.923999070869132
18378,Brian Vaughn,0.9240457133596501
18375,Dominic Gannaway,0.9243995949074074
18374,Sebastian Markbage,0.9233271744020666
18371,Sebastian Markbage,0.9214018447163203
18370,Dominic Gannaway,0.9229671943936492
18364,Sebastian Markbage,0.9215226619644723
18362,Sebastian Markbage,0.9214510587193777
18360,Nick Reiley,0.93586501350611
18356,suthagar23,0.9206323342206962
18355,Dominic Gannaway,0.9205650524642981
18351,Dominic Gannaway,0.9202189912777197
18349,Dominic Gannaway,0.9199391635463834
18347,Andrew Clark,0.9199193261639382
18346,Dominic Gannaway,0.9199350591039708
18346,Sebastian Markbage,0.9199439981713688
18345,jyash97,0.9198740820561941
18336,Dominic Gannaway,0.9193100409627888
18334,Sebastian Markbage,0.914222605001161
18333,Sebastian Markbage,0.9185575356655638
18330,Dan Abramov,0.9183830250541817
18329,Dan Abramov,0.9183401317412632
18309,Brian Vaughn,0.9153639483919657
18307,Brian Vaughn,0.9146591135855684
18304,Dominic Gannaway,0.9165879883606176
18301,Dan,0.9146811279098456
18299,Luna Ruan,0.91463450960757
18297,Brian Vaughn,0.9308674804800882
18296,Andrew Clark,0.91642256799315
18293,Nick Reiley,0.9252762539184953
18292,Dominic Gannaway,0.9144054182268083
18289,Dominic Gannaway,0.9141683084436317
18287,Nick Reiley,0.9255669028648555
18286,Brian Vaughn,0.9138463206054801
18282,Dominic Gannaway,0.9137185477258214
18278,Sebastian Markbage,0.9136220094261582
18277,Sebastian Markbage,0.9135793277603622
18274,Dominic Gannaway,0.9134935426462905
18273,Sebastian Markbage,0.9131898184430512
18271,Dominic Gannaway,0.9127635913735052
18270,Dominic Gannaway,0.9127284609746894
18265,Andrew Clark,0.9131100244543132
18262,Josh Story,0.9124588581510077
18260,Sebastian Markbage,0.9116968789910601
18255,Sebastian Silbermann,0.9119632477795193
18248,Kerollos Magdy,0.9113760812144432
18248,Brian Vaughn,0.9190724821853593
18241,Mateusz Burzyński,0.909733021173068
18240,Sebastian Markbage,0.9093784939916405
18239,Andrew Clark,0.9097119180308836
18234,Andrew Clark,0.9090642959770115
18233,Rick Hanlon,0.9114434501427546
18220,Sebastian Markbage,0.9086406600729516
18217,Sebastian Markbage,0.9084295541623129
18216,Dan,0.9083481002554279
18215,Dominic Gannaway,0.9072488625478927
18215,Sebastian Markbage,0.9082973366930802
18210,Dominic Gannaway,0.9079402864855451
18204,Brian Vaughn,0.9073604271885524
18201,Dominic Gannaway,0.9079626968922946
18196,Sunil Pai,0.9064771638801811
18195,Dominic Gannaway,0.906793986016777
18187,Minh Nguyen,0.9044364079008476
18185,Minh Nguyen,0.9043761428944619
18184,Dominic Gannaway,0.9045481485109719
18180,Sebastian Markbage,0.9012761595843493
18179,Dominic Gannaway,0.9041743494572159
18165,Sebastian Markbage,0.9009960642705794
18157,Sebastian Markbage,0.9034646845611285
18155,Dominic Gannaway,0.9034501171920353
