pr,commenter,weight
40903,gbaned,1.007592443792276
40903,tg-at-google,1.0103377787695957
40901,gbaned,1.0051579963165886
40901,mdanatg,1.009680073434378
40897,tg-at-google,1.0046411940332867
40897,mihaimaruseac,1.014909615143432
40897,gbaned,1.0075916303807606
40861,zhuzilin,1.0005071291344394
40861,mihaimaruseac,1.0005601660501562
40854,gbaned,1.0052463475828424
40854,googlebot,1.005388801610462
40854,dnguyen28061,1.0054150571577665
40851,gbaned,1.0052445604214568
40835,mihaimaruseac,1.0025514050756805
40835,vnghia,1.0012736098391886
40828,mihaimaruseac,1.00254111102196
40828,martinwicke,1.0005430494791683
40828,Rishit-dagli,1.0005457131477828
40828,theadactyl,1.0005851335353477
40817,rahul-kamat,1.0013560285845715
40817,gbaned,1.1111886013176806
40817,mdanatg,1.127992308191548
40811,yil532,0.7963463620461275
40811,gbaned,1.0871352151210465
40778,gbaned,1.0075841451977514
40778,kkimdev,1.0697901343406242
40778,lgeiger,1.0702670672340666
40777,tg-at-google,1.0034275324202253
40776,mihaimaruseac,1.0039394777836905
40773,gbaned,1.0052155559658476
40745,bondhugula,0.0009194903546414853
40745,joker-eph,0.18822741772892393
40745,gbaned,1.0020156181922266
40745,jpienaar,1.0044250168836837
40745,sherhut,1.0061391855627064
40745,antiagainst,1.0061846129589513
40745,benvanik,1.0061631970840283
40745,stellaraccident,1.0062288278485982
40745,MaheshRavishankar,1.0063483475843331
40741,tg-at-google,0.7527452033189148
40741,gbaned,1.0045013676901255
40736,gbaned,0.540712476360881
40736,tfeher,0.8496774097915301
40710,vnghia,0.10975981477735539
40710,mihaimaruseac,1.0048694545209522
40697,tg-at-google,1.0040622112186552
40696,gbaned,1.0573687285441387
40696,mdanatg,0.5187456476885646
40696,google-cla[bot],1.1341096373075776
40696,rthadur,1.3096365919097606
40695,superbobry,1.0051969738591497
40695,lgeiger,1.005146271438097
40691,xingyu-long,1.0042233802612042
40685,vishalsubbiah,1.0039730260431503
40678,allenlavoie,1.0052296788564843
40678,gbaned,1.0022660980783242
40678,abhichou4,1.0005564994853846
40657,googlebot,0.7544957395580545
40657,Niram7777,1.005989142505025
40657,gbaned,0.7914411633079248
40657,tensorflowbutler,1.0705956445593168
40626,yongtang,0.5029846779272564
40626,mihaimaruseac,0.502044260065777
40626,gbaned,1.0064305116646333
40624,nluehr,1.0056970963427325
40624,rthadur,1.0048064552761518
40621,gbaned,1.003203487012784
40621,sayakpaul,1.0692548824714452
40621,yixingfu,1.0693256400275077
40619,jpodivin,0.5040541744446336
40619,yashk2810,1.0083846983533156
40618,mihaimaruseac,0.503463653154253
40618,vnghia,0.1888716232741512
40602,gbaned,1.0113321410139382
40596,googlebot,1.0087073074552446
40596,nhasabni,1.0087443170829589
40596,penpornk,1.0086677261185122
40596,reedwm,1.0086630051393501
40582,mihaimaruseac,1.0081397809436985
40578,joker-eph,1.008537943741976
